_source,activity,all_lessee,dataset,geometry_geojson,gloid,lease_number,lease_status,objectid_1,primary_lessee,project_latitude,project_longitude,project_name,project_number,purposeclass,total_consideration
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.556378793066, 31.3925434617283], [-94.5506786187706, 31.3896535523591], [-94.5576388257791, 31.3897035397235], [-94.5577088135229, 31.3844336832295], [-94.5614189248165, 31.3845036744834], [-94.5627089621584, 31.3845636708893], [-94.5627089594634, 31.3846436683382], [-94.5626589754044, 31.391863467509], [-94.5563787921677, 31.3918134812944], [-94.556378793066, 31.3925434617283]]]}",SL20030015,SL20030015,Active,764,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.2690525757785, 31.0739868414749], [-94.2689496441183, 31.0821426222719], [-94.2594525947475, 31.0824837249953], [-94.2594466344256, 31.0824839388717], [-94.2690525757785, 31.0739868414749]]]}",SL20030015,SL20030015,Active,765,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-95.8931846052337, 31.1279749370652], [-95.895387227598, 31.1233383890518], [-95.8930508739357, 31.1228838499674], [-95.8920739219282, 31.1209397658792], [-95.9052174917521, 31.1151785986946], [-95.9088276142665, 31.1211384241061], [-95.8979673103666, 31.1259883092575], [-95.8989376229258, 31.1274083197409], [-95.898680580787, 31.1274126352328], [-95.8933654378971, 31.1279573483862], [-95.8931846052337, 31.1279749370652]]]}",SL20030015,SL20030015,Active,766,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.76546374157, 30.9121065612618], [-94.7652337135684, 30.9035068068803], [-94.7675037850375, 30.9051367557439], [-94.7680037981044, 30.9046867675185], [-94.7681638194976, 30.9120665572745], [-94.76546374157, 30.9121065612618]]]}",SL20030015,SL20030015,Active,767,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.9803041242341, 30.3016043615097], [-95.042785198756, 30.3005803804907], [-95.0428089573987, 30.3015638897304], [-94.9803135260019, 30.3025711032743], [-94.9803041242341, 30.3016043615097]]]}",SL20030015,SL20030015,Active,768,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.9645041408936, 30.3018633007718], [-94.9645272985634, 30.302825522235], [-94.9555600171566, 30.3029700427564], [-94.9555530983323, 30.3020099951266], [-94.9645041408936, 30.3018633007718]]]}",SL20030015,SL20030015,Active,769,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7550535106954, 30.9415957421812], [-94.7449131975125, 30.9345459602423], [-94.7550434926833, 30.9347459368597], [-94.7550535106954, 30.9415957421812]]]}",SL20030015,SL20030015,Active,770,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-95.059372421594, 30.9572247383817], [-95.0605355135115, 30.9418568066378], [-95.0607765880961, 30.9386580404463], [-95.0610022188443, 30.9357408468685], [-95.0677703741299, 30.9357901696956], [-95.0694701636156, 30.9357891133065], [-95.0694326580541, 30.9343953676258], [-95.069402655222, 30.9338553846689], [-95.0701326765275, 30.9338453822874], [-95.0838730771447, 30.933845356089], [-95.0746228327116, 30.943635096319], [-95.073272791502, 30.9426851244157], [-95.059372421594, 30.9572247383817]]]}",SL20030015,SL20030015,Active,771,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.9548897445972, 31.1039707845073], [-94.940059310248, 31.1040608099198], [-94.940069296819, 31.0980609786511], [-94.9605698945467, 31.0980109420681], [-94.9605899090112, 31.1039307748092], [-94.9548897445972, 31.1039707845073]]]}",SL20030015,SL20030015,Active,772,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.9605698945467, 31.0980109420681], [-94.9694355207993, 31.0979969916035], [-94.9693164428201, 31.0983194017326], [-94.9691629171448, 31.0986904485971], [-94.9687090936532, 31.0995266929207], [-94.968458606521, 31.0999782955158], [-94.9681590327468, 31.1005377200249], [-94.9680403149921, 31.1007952156459], [-94.9679693543729, 31.1010622946668], [-94.9679584092995, 31.1013700167713], [-94.9680168051828, 31.1022140592935], [-94.9681359936547, 31.1036124234015], [-94.9681601538443, 31.1038600445874], [-94.9605899090112, 31.1039307748092], [-94.9605698945467, 31.0980109420681]]]}",SL20030015,SL20030015,Active,773,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
